title,release_date,developer,publisher,tags,bundle,music
Pets Hotel,,Games Incubator,,"Simulation,Education,Sandbox,Immersive Sim,3D,Colorful,Cute,Dog,First-Person,Family Friendly,Funny,Nature,Relaxing,Base Building,Character Customization,Choices Matter,Cats,Singleplayer,Indie,Psychological Horror",,Buy Pets Hotel
Recycling Center Simulator,"2 Oct, 2024",Balas Games,PlayWay S.A.,"First-Person,Simulation,Management,Time Management,Life Sim,Immersive Sim,Sandbox,Automation,Economy,Building,Physics,3D,Capitalism,Realistic,Relaxing,Crafting,Resource Management,Casual,Adventure,Family Friendly",,
Thief Simulator,,Noble Muffins,,"Simulation,Stealth,Singleplayer,Crime,First-Person,Open World,Adventure,Action,Heist,Indie,Sandbox,Funny,Realistic,Exploration,FPS,RPG,Silent Protagonist,Atmospheric,Immersive Sim,Co-op",,Buy Thief Simulator
Lost Artifacts - Ancient Tribe Survival,"1 Feb, 2018",Creobit,8Floor,"Casual,Strategy,Management,Action,Adventure,Capitalism,Time Management,Point & Click,Singleplayer,Puzzle,2D,Third Person,Indie,Cartoony,Building,Story Rich,Simulation,PvE,Real-Time,Gore",,Buy Lost Artifacts
We. The Revolution,"21 Mar, 2019",Polyslash,Klabater,"Historical,Choices Matter,Political Sim,Adventure,Simulation,Singleplayer,Strategy,Investigation,Story Rich,Turn-Based,Crime,Point & Click,Thriller,Puzzle,Visual Novel,Hand-drawn,Action,Action-Adventure,Crafting,Experimental",,
Car Mechanic Simulator VR,"8 Jun, 2021",GameFormatic S.A.,PlayWay S.A.,"Automobile Sim,Simulation,VR,Racing,Driving,Realistic,Building,Education,Economy,First-Person,Family Friendly,Atmospheric,Relaxing,Management,Physics,Moddable,Inventory Management,Singleplayer,Crafting,Great Soundtrack",,
House Builder VR,"4 Dec, 2023",PixelTrapps,FreeMind S.A.,"VR,Immersive Sim,Building,Simulation,Design & Illustration,First-Person,Singleplayer,Base Building,Casual,3D,Indie,Management,Economy,Sandbox,Realistic,Education,Adventure,Family Friendly,Funny,Relaxing",,
Animal Trainer Simulator,,Games Incubator,,"Simulation,Casual,Realistic,Family Friendly,Dog,Horses,Cats,Cute,Relaxing,Singleplayer,First-Person,Life Sim,Nature,Adventure,Education,Emotional,Immersive Sim,Management,Agriculture,Open World",,Buy Animal Trainer Simulator
Car Mechanic Simulator 2021,,Red Dot Games,,"Simulation,Automobile Sim,Sandbox,Realistic,Moddable,Driving,Racing,3D,Singleplayer,Education,First-Person,Immersive Sim,Puzzle,Open World,Atmospheric,Adventure,Minigames,Indie,VR,Strategy",,
This is the Zodiac Speaking,"15 Oct, 2020",Punch Punk Games,Klabater,"Noir,Survival Horror,Mystery,Story Rich,Action,Horror,Walking Simulator,Detective,Stealth,Adventure,Indie,Atmospheric,First-Person,Singleplayer,Stylized,Gore,Nonlinear,Experimental,Interactive Fiction,Survival",,Buy This Is the Zodiac Speaking
Tank Mechanic Simulator VR,"1 Sep, 2022",GameFormatic S.A.,PlayWay S.A.,"Simulation,VR,Tanks,War,World War II,Immersive Sim,Military,Realistic,Historical,Management,Economy,Transportation,Singleplayer,First-Person,Inventory Management,Vehicular Combat,3D,3D Vision,Resource Management,Trading",,
Timberman VR,"16 Aug, 2022",GameFormatic S.A.,PlayWay S.A.,"VR,Score Attack,Rhythm,Ninja,Arcade,Action,Casual,Singleplayer,Colorful,Clicker,3D,Difficult,Funny,Cartoony,Comedy,First-Person,Sports,Cartoon,Satire,Family Friendly",,
Chupacabra Hunt,"2 Sep, 2024",FireRing Studio,CreativeForge Games,"Horror,Survival Horror,Hunting,Supernatural,Mythology,Open World,Survival,FPS,Psychological Horror,Difficult,Walking Simulator,Dark,Shooter,Action-Adventure,Exploration,Atmospheric,Singleplayer,Adventure,Action,Indie",,Buy Chupacabra Hunt
The Amazing American Circus,"16 Sep, 2021",Klabater,Klabater,"RPG,Adventure,Turn-Based Tactics,Strategy RPG,Turn-Based Combat,Tactical,Exploration,Trading Card Game,Roguelite,Card Battler,Card Game,Turn-Based Strategy,Strategy,2D,Cooking,Historical,Dark Comedy,Story Rich,Deckbuilding,Stylized",,Buy The Amazing American Circus
Lost Artifacts Mysterious Book Collector's Edition,"18 Mar, 2022",GameOn Production,8floor,"Strategy,Casual,Simulation,Time Management,Singleplayer,Adventure,Indie",,Buy Lost Artifacts 6: Magic Book
